# Series: SARB repo rate (monthly average, weighted by days at each rate)
# 2004-01 to 2023-12: OECD via FRED IRSTCB01ZAM156N (series ended 2023-12)
# 2024-01 to 2024-12: manually compiled from SARB MPC announcements
# VERIFY 2024 VALUES AGAINST BLOOMBERG SARPRATE Index BEFORE USE
date,sarb_repo
2004-01-01,8.0
2004-02-01,8.0
2004-03-01,8.0
2004-04-01,8.0
2004-05-01,8.0
2004-06-01,8.0
2004-07-01,8.0
2004-08-01,7.68
2004-09-01,7.5
2004-10-01,7.5
2004-11-01,7.5
2004-12-01,7.5
2005-01-01,7.5
2005-02-01,7.5
2005-03-01,7.5
2005-04-01,7.24
2005-05-01,7.0
2005-06-01,7.0
2005-07-01,7.0
2005-08-01,7.0
2005-09-01,7.0
2005-10-01,7.0
2005-11-01,7.0
2005-12-01,7.0
2006-01-01,7.0
2006-02-01,7.0
2006-03-01,7.0
2006-04-01,7.0
2006-05-01,7.0
2006-06-01,7.38
2006-07-01,7.5
2006-08-01,7.9615
2006-09-01,8.0
2006-10-01,8.3077
2006-11-01,8.5
2006-12-01,8.875
2007-01-01,9.0
2007-02-01,9.0
2007-03-01,9.0
2007-04-01,9.0
2007-05-01,9.0
2007-06-01,9.38
2007-07-01,9.5
2007-08-01,9.75
2007-09-01,10.0
2007-10-01,10.3
2007-11-01,10.5
2007-12-01,10.8947
2008-01-01,11.0
2008-02-01,11.0
2008-03-01,11.0
2008-04-01,11.3095
2008-05-01,11.5
2008-06-01,11.7857
2008-07-01,12.0
2008-08-01,12.0
2008-09-01,12.0
2008-10-01,12.0
2008-11-01,12.0
2008-12-01,11.7083
2009-01-01,11.5
2009-02-01,10.7
2009-03-01,10.2727
2009-04-01,9.5
2009-05-01,8.45
2009-06-01,7.5
2009-07-01,7.5
2009-08-01,7.1957
2009-09-01,7.0
2009-10-01,7.0
2009-11-01,7.0
2009-12-01,7.0
2010-01-01,7.0
2010-02-01,7.0
2010-03-01,6.9038
2010-04-01,6.5
2010-05-01,6.5
2010-06-01,6.5
2010-07-01,6.5
2010-08-01,6.5
2010-09-01,6.16
2010-10-01,6.0
2010-11-01,5.8077
2010-12-01,5.5
2011-01-01,5.5
2011-02-01,5.5
2011-03-01,5.5
2011-04-01,5.5
2011-05-01,5.5
2011-06-01,5.5
2011-07-01,5.5
2011-08-01,5.5
2011-09-01,5.5
2011-10-01,5.5
2011-11-01,5.5
2011-12-01,5.5
2012-01-01,5.5
2012-02-01,5.5
2012-03-01,5.5
2012-04-01,5.5
2012-05-01,5.5
2012-06-01,5.5
2012-07-01,5.3077
2012-08-01,5.0
2012-09-01,5.0
2012-10-01,5.0
2012-11-01,5.0
2012-12-01,5.0
2013-01-01,5.0
2013-02-01,5.0
2013-03-01,5.0
2013-04-01,5.0
2013-05-01,5.0
2013-06-01,5.0
2013-07-01,5.0
2013-08-01,5.0
2013-09-01,5.0
2013-10-01,5.0
2013-11-01,5.0
2013-12-01,5.0
2014-01-01,5.0385
2014-02-01,5.5
2014-03-01,5.5
2014-04-01,5.5
2014-05-01,5.5
2014-06-01,5.5
2014-07-01,5.6111
2014-08-01,5.75
2014-09-01,5.75
2014-10-01,5.75
2014-11-01,5.75
2014-12-01,5.75
2015-01-01,5.75
2015-02-01,5.75
2015-03-01,5.75
2015-04-01,5.75
2015-05-01,5.75
2015-06-01,5.75
2015-07-01,5.8125
2015-08-01,6.0
2015-09-01,6.0
2015-10-01,6.0
2015-11-01,6.0833
2015-12-01,6.25
2016-01-01,6.2738
2016-02-01,6.75
2016-03-01,6.8333
2016-04-01,7.0
2016-05-01,7.0
2016-06-01,7.0
2016-07-01,7.0
2016-08-01,7.0
2016-09-01,7.0
2016-10-01,7.0
2016-11-01,7.0
2016-12-01,7.0
2017-01-01,7.0
2017-02-01,7.0
2017-03-01,7.0
2017-04-01,7.0
2017-05-01,7.0
2017-06-01,7.0
2017-07-01,6.9167
2017-08-01,6.75
2017-09-01,6.75
2017-10-01,6.75
2017-11-01,6.75
2017-12-01,6.75
2018-01-01,6.75
2018-02-01,6.75
2018-03-01,6.7375
2018-04-01,6.5
2018-05-01,6.5
2018-06-01,6.5
2018-07-01,6.5
2018-08-01,6.5
2018-09-01,6.5
2018-10-01,6.5
2018-11-01,6.5682
2018-12-01,6.75
2019-01-01,6.75
2019-02-01,6.75
2019-03-01,6.75
2019-04-01,6.75
2019-05-01,6.75
2019-06-01,6.75
2019-07-01,6.64
2019-08-01,6.5
2019-09-01,6.5
2019-10-01,6.5
2019-11-01,6.5
2019-12-01,6.5
2020-01-01,6.375
2020-02-01,6.25
2020-03-01,5.8654
2020-04-01,4.6848
2020-05-01,4.09
2020-06-01,3.75
2020-07-01,3.6852
2020-08-01,3.5
2020-09-01,3.5
2020-10-01,3.5
2020-11-01,3.5
2020-12-01,3.5
2021-01-01,3.5
2021-02-01,3.5
2021-03-01,3.5
2021-04-01,3.5
2021-05-01,3.5
2021-06-01,3.5
2021-07-01,3.5
2021-08-01,3.5
2021-09-01,3.5
2021-10-01,3.5
2021-11-01,3.5952
2021-12-01,3.75
2022-01-01,3.7738
2022-02-01,4.0
2022-03-01,4.0568
2022-04-01,4.25
2022-05-01,4.4405
2022-06-01,4.75
2022-07-01,4.9643
2022-08-01,5.5
2022-09-01,5.7045
2022-10-01,6.25
2022-11-01,6.3864
2022-12-01,7.0
2023-01-01,7.0357
2023-02-01,7.25
2023-03-01,7.2727
2023-04-01,7.75
2023-05-01,7.8409
2023-06-01,8.25
2023-07-01,8.25
2023-08-01,8.25
2023-09-01,8.25
2023-10-01,8.25
2023-11-01,8.25
2023-12-01,8.25
2024-01-01,8.25
2024-02-01,8.25
2024-03-01,8.25
2024-04-01,8.25
2024-05-01,8.25
2024-06-01,8.25
2024-07-01,8.25
2024-08-01,8.25
2024-09-01,8.1583
2024-10-01,8.0
2024-11-01,7.925
2024-12-01,7.75
